,date,open,high,low,close,volume,average,barCount
0,2016-11-21,2186.43,2198.7,2186.43,2198.18,0,0.0,13753
1,2016-11-22,2201.56,2204.8,2194.51,2202.94,0,0.0,14416
2,2016-11-23,2198.55,2204.72,2194.51,2204.72,0,0.0,14308
3,2016-11-25,2206.27,2213.35,2206.27,2213.35,0,0.0,7471
4,2016-11-28,2210.21,2211.14,2200.36,2201.72,0,0.0,14063
5,2016-11-29,2200.76,2210.46,2198.15,2204.66,0,0.0,14001
6,2016-11-30,2204.97,2214.1,2198.81,2198.81,0,0.0,15712
7,2016-12-01,2200.17,2202.6,2187.44,2191.08,0,0.0,17220
8,2016-12-02,2191.12,2197.95,2188.37,2191.95,0,0.0,15086
9,2016-12-05,2200.65,2209.42,2199.97,2204.71,0,0.0,17766
10,2016-12-06,2207.26,2212.78,2202.21,2212.23,0,0.0,17504
11,2016-12-07,2210.72,2241.63,2208.93,2241.35,0,0.0,18325
12,2016-12-08,2241.13,2251.69,2237.57,2246.19,0,0.0,18541
13,2016-12-09,2249.73,2259.8,2249.23,2259.53,0,0.0,17819
14,2016-12-12,2258.83,2264.03,2252.37,2256.96,0,0.0,18209
15,2016-12-13,2263.32,2277.53,2263.32,2271.72,0,0.0,18373
16,2016-12-14,2268.35,2276.2,2248.44,2253.28,0,0.0,18971
17,2016-12-15,2253.77,2272.12,2253.77,2262.03,0,0.0,18578
18,2016-12-16,2266.81,2268.05,2254.24,2258.07,0,0.0,17677
19,2016-12-19,2259.24,2267.47,2258.21,2262.53,0,0.0,17445
20,2016-12-20,2266.5,2272.56,2266.14,2270.76,0,0.0,16854
21,2016-12-21,2270.54,2271.23,2265.15,2265.18,0,0.0,16155
22,2016-12-22,2262.93,2263.18,2256.08,2260.96,0,0.0,16265
23,2016-12-23,2260.25,2263.79,2258.84,2263.79,0,0.0,14986
24,2016-12-27,2266.23,2273.82,2266.15,2268.88,0,0.0,15052
25,2016-12-28,2270.23,2271.31,2249.11,2249.92,0,0.0,16318
26,2016-12-29,2249.5,2254.51,2244.56,2249.26,0,0.0,16571
27,2016-12-30,2251.61,2253.58,2233.62,2238.83,0,0.0,16931
28,2017-01-03,2251.57,2263.88,2245.13,2257.83,0,0.0,18171
29,2017-01-04,2261.6,2272.82,2261.6,2270.75,0,0.0,17088
30,2017-01-05,2268.18,2271.5,2260.45,2269.0,0,0.0,17461
31,2017-01-06,2271.14,2282.1,2264.06,2276.98,0,0.0,17119
32,2017-01-09,2273.59,2275.49,2268.9,2268.9,0,0.0,16903
33,2017-01-10,2269.72,2279.27,2265.27,2268.9,0,0.0,17203
34,2017-01-11,2268.6,2275.32,2260.83,2275.32,0,0.0,18342
35,2017-01-12,2271.14,2271.78,2254.25,2270.44,0,0.0,17793
36,2017-01-13,2272.74,2278.68,2271.51,2274.64,0,0.0,16913
37,2017-01-17,2269.14,2272.08,2262.81,2267.89,0,0.0,17505
38,2017-01-18,2269.14,2272.01,2263.35,2271.89,0,0.0,16914
39,2017-01-19,2271.9,2274.33,2258.41,2263.69,0,0.0,16973
40,2017-01-20,2269.96,2276.96,2265.01,2271.31,0,0.0,17724
41,2017-01-23,2267.78,2271.78,2257.02,2265.2,0,0.0,17239
42,2017-01-24,2267.88,2284.63,2266.68,2280.07,0,0.0,17109
43,2017-01-25,2288.88,2299.55,2288.88,2298.37,0,0.0,17172
44,2017-01-26,2298.63,2300.99,2294.08,2296.68,0,0.0,17522
45,2017-01-27,2299.02,2299.02,2291.62,2294.69,0,0.0,16905
46,2017-01-30,2286.01,2286.01,2268.04,2280.9,0,0.0,17375
47,2017-01-31,2274.02,2279.09,2267.21,2278.87,0,0.0,17379
48,2017-02-01,2285.59,2289.14,2272.44,2279.55,0,0.0,18314
49,2017-02-02,2276.69,2283.97,2271.65,2280.85,0,0.0,17607
50,2017-02-03,2288.54,2298.31,2287.88,2297.42,0,0.0,17227
51,2017-02-06,2294.28,2296.18,2288.57,2292.56,0,0.0,16538
52,2017-02-07,2295.87,2299.4,2290.16,2293.08,0,0.0,16689
53,2017-02-08,2289.55,2295.91,2285.38,2294.67,0,0.0,17004
54,2017-02-09,2296.7,2311.08,2296.61,2307.87,0,0.0,16722
55,2017-02-10,2312.27,2319.23,2311.1,2316.1,0,0.0,16471
56,2017-02-13,2321.72,2331.58,2321.42,2328.25,0,0.0,16458
57,2017-02-14,2326.12,2337.58,2322.17,2337.58,0,0.0,17099
58,2017-02-15,2335.58,2351.3,2334.81,2349.25,0,0.0,17119
59,2017-02-16,2349.64,2351.31,2338.87,2347.22,0,0.0,17328
60,2017-02-17,2343.01,2351.16,2339.58,2351.16,0,0.0,16445
61,2017-02-21,2354.91,2366.71,2354.91,2365.38,0,0.0,16757
62,2017-02-22,2361.11,2365.13,2358.34,2362.82,0,0.0,16687
63,2017-02-23,2367.5,2368.26,2355.09,2363.81,0,0.0,17233
64,2017-02-24,2355.73,2367.34,2352.87,2367.34,0,0.0,16902
65,2017-02-27,2365.23,2371.54,2361.87,2369.75,0,0.0,16522
66,2017-02-28,2366.08,2367.79,2358.96,2363.64,0,0.0,16928
67,2017-03-01,2380.13,2400.98,2380.13,2395.96,0,0.0,18001
68,2017-03-02,2394.75,2394.75,2380.17,2381.92,0,0.0,17338
69,2017-03-03,2380.92,2383.89,2375.39,2383.12,0,0.0,16889
70,2017-03-06,2375.23,2378.8,2367.98,2375.31,0,0.0,16321
71,2017-03-07,2370.74,2375.12,2365.51,2368.39,0,0.0,16585
72,2017-03-08,2369.81,2373.09,2361.01,2362.98,0,0.0,17259
73,2017-03-09,2363.49,2369.08,2354.54,2364.87,0,0.0,17194
74,2017-03-10,2372.52,2376.86,2363.04,2372.6,0,0.0,17154
75,2017-03-13,2371.56,2374.42,2368.52,2373.47,0,0.0,16214
76,2017-03-14,2368.55,2368.55,2358.18,2365.45,0,0.0,16903
77,2017-03-15,2370.34,2390.01,2368.94,2385.26,0,0.0,17413
78,2017-03-16,2387.71,2388.1,2377.18,2381.38,0,0.0,16986
79,2017-03-17,2383.71,2385.71,2377.64,2378.25,0,0.0,16479
80,2017-03-20,2378.24,2379.55,2369.66,2373.47,0,0.0,16517
81,2017-03-21,2379.32,2381.93,2341.9,2344.02,0,0.0,19407
82,2017-03-22,2343.0,2351.81,2336.45,2348.45,0,0.0,18267
83,2017-03-23,2345.97,2358.92,2342.13,2345.96,0,0.0,17764
84,2017-03-24,2350.42,2356.22,2335.74,2343.98,0,0.0,17723
85,2017-03-27,2329.11,2344.9,2322.25,2341.59,0,0.0,17701
86,2017-03-28,2339.79,2363.78,2337.63,2358.57,0,0.0,17608
87,2017-03-29,2356.54,2363.36,2352.94,2361.13,0,0.0,16492
88,2017-03-30,2361.31,2370.42,2358.58,2368.06,0,0.0,16619
89,2017-03-31,2364.82,2370.35,2362.6,2362.72,0,0.0,16349
90,2017-04-03,2362.34,2365.87,2344.73,2358.84,0,0.0,17799
91,2017-04-04,2354.76,2360.53,2350.72,2360.16,0,0.0,16830
92,2017-04-05,2366.59,2378.36,2350.52,2352.95,0,0.0,17811
93,2017-04-06,2353.79,2364.16,2348.9,2357.49,0,0.0,17630
94,2017-04-07,2356.59,2363.76,2350.74,2355.54,0,0.0,16784
